ID,SKU_id,Valid_from,Valid_until,Unit_price
1,1,1/1/2022 0:00:00,6/30/2022 23:59:59,0.25
2,2,1/1/2022 0:00:00,6/30/2022 23:59:59,0.3
3,3,1/1/2022 0:00:00,6/30/2022 23:59:59,0.45
4,4,1/1/2022 0:00:00,6/30/2022 23:59:59,0.6
5,5,1/1/2022 0:00:00,6/30/2022 23:59:59,1.85
6,1,7/1/2022 0:00:00,12/31/2022 23:59:59,0.29
7,2,7/1/2022 0:00:00,12/31/2022 23:59:59,0.34
8,3,7/1/2022 0:00:00,12/31/2022 23:59:59,0.51
9,4,7/1/2022 0:00:00,12/31/2022 23:59:59,0.75
10,5,7/1/2022 0:00:00,12/31/2022 23:59:59,1.99
